date,Afghanistan,Albania,Algeria,Angola,Argentina,Australia,Austria,Bahrain,Bangladesh,Belgium,Bhutan,Brazil,Brunei,Bulgaria,Burkina Faso,Cameroon,Canada,Chile,Colombia,Costa Rica,Cote Ivoire,Croatia,Cuba,Cyprus,Czech Republic,DEM REP CONGO,Denmark,Ecuador,Egypt,El Salvador,Estonia,Eswatini,Ethiopia,Fiji,Finland,France,French Guiana,Georgia,Germany,Ghana,Greece,Greenland,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Kyrgyzstan,Latvia,Lebanon,Lithuania,Luxembourg,Madagascar,Malaysia,Mali,Malta,Mauritius,Mexico,Morocco,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Nigeria,North Korea,North Macedonia,Norway,Oman,Pakistan,Palestine,Panama,Peoples R China,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Senegal,Serbia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Tanzania,Thailand,Togo,Trinidad Tobago,Tunisia,U Arab Emirates,Uganda,Ukraine,Uruguay,Venezuela,Vietnam,Yemen,Zimbabwe,USA,Turkey,UK
2012-01-31,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,16.0,0.0,2.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,27.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,7.0,1.0,11.0,0.0,3.0,2.0,7.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,30.0
2012-07-31,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,6.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,9.0
2013-01-31,0.0,0.0,0.0,0.0,0.0,23.0,4.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,12.0,0.0,5.0,0.0,2.0,0.0,17.0,0.0,1.0,0.0,3.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,30.0,0.0,1.0,4.0,6.0,0.0,6.0,0.0,1.0,1.0,0.0,4.0,2.0,3.0,6.0,1.0,6.0,0.0,5.0,3.0,5.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,31.0
2013-07-31,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,29.0,0.0,17.0
2014-01-31,0.0,0.0,0.0,0.0,0.0,24.0,5.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,21.0,0.0,3.0,0.0,2.0,0.0,23.0,0.0,0.0,0.0,2.0,1.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,35.0,0.0,2.0,6.0,11.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,2.0,3.0,6.0,1.0,14.0,2.0,6.0,3.0,6.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,70.0,2.0,33.0
2014-07-31,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,14.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,8.0,0.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,13.0
2015-01-31,0.0,0.0,0.0,0.0,1.0,18.0,2.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,12.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,20.0,0.0,3.0,0.0,2.0,0.0,22.0,1.0,1.0,0.0,3.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,36.0,1.0,3.0,2.0,1.0,2.0,4.0,1.0,0.0,0.0,1.0,5.0,1.0,1.0,3.0,2.0,14.0,0.0,13.0,4.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,64.0,0.0,29.0
2015-07-31,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,12.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,18.0,0.0,2.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,18.0
2016-01-31,0.0,1.0,2.0,0.0,0.0,26.0,3.0,0.0,1.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,21.0,6.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,24.0,0.0,8.0,0.0,5.0,0.0,30.0,3.0,1.0,0.0,5.0,0.0,36.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,18.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,68.0,1.0,4.0,8.0,8.0,3.0,5.0,1.0,3.0,0.0,0.0,5.0,1.0,6.0,3.0,6.0,29.0,2.0,10.0,6.0,6.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,2.0,34.0
2016-07-31,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,21.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,16.0,1.0,5.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,19.0
