c,yr,x,y,r2N,max_s,delta_t,phase,color
USA,2007-01-01,2007-01-01 00:00:00,0.20956910049631786,1.0000000003996832,1.0,0.0,Deactivated,black
UK,2007-01-01,2007-01-01 00:00:00,0.20956910049631786,2.0000000007993664,2.0,0.0,Deactivated,black
Australia,2008-01-01,2008-01-01 00:00:00,5.618822551923861,2.0007055535648246,2.0,0.0,Deactivated,black
Canada,2008-01-01,2008-01-01 00:00:00,8.938238266638331,0.9999999999999974,1.0,0.0,Deactivated,black
France,2008-01-01,2008-01-01 00:00:00,8.938238266638331,0.9999999999999974,1.0,0.0,Deactivated,black
New Zealand,2008-01-01,2008-01-01 00:00:00,8.938238266638331,0.9999999999999974,1.0,0.0,Deactivated,black
Singapore,2008-01-01,2008-01-01 00:00:00,8.938238266638331,0.9999999999999974,1.0,0.0,Deactivated,black
USA,2008-01-01,2008-01-01 00:00:00,6.889801917103515,12.001189633936324,12.0,0.0,Deactivated,black
UK,2008-01-01,2008-01-01 00:00:00,4.854750748822382,10.01018523681819,10.0,0.0,Deactivated,black
Australia,2008-07-01,2008-07-01 00:00:00,5.618822551923861,2.0007055535648246,2.0,0.0,Deactivated,black
Canada,2008-07-01,2008-07-01 00:00:00,4.923078052437361,2.001320734089046,2.0,0.0,Deactivated,black
Denmark,2008-07-01,2008-07-01 00:00:00,8.929470164936566,1.0000000000000109,1.0,0.0,Deactivated,black
France,2008-07-01,2008-07-01 00:00:00,8.938238266638331,0.9999999999999974,1.0,0.0,Deactivated,black
New Zealand,2008-07-01,2008-07-01 00:00:00,8.938238266638331,0.9999999999999974,1.0,0.0,Deactivated,black
Singapore,2008-07-01,2008-07-01 00:00:00,8.938238266638331,0.9999999999999974,1.0,0.0,Deactivated,black
Switzerland,2008-07-01,2008-07-01 00:00:00,8.928905102565974,0.9999999999999778,1.0,0.0,Deactivated,black
USA,2008-07-01,2008-07-01 00:00:00,4.950144662027379,18.993840761492883,19.0,0.0,Deactivated,black
UK,2008-07-01,2008-07-01 00:00:00,4.717121005470258,15.013204208628732,15.0,0.0,Deactivated,black
Australia,2009-01-01,2009-01-01 00:00:00,4.284638765957772,8.020587322757317,8.0,0.0,Deactivated,black
Brazil,2009-01-01,2009-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Canada,2009-01-01,2009-01-01 00:00:00,4.096911448076506,4.007445377731723,4.0,0.0,Deactivated,black
Czech Republic,2009-01-01,2009-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Denmark,2009-01-01,2009-01-01 00:00:00,3.9914075011905115,2.00359116999372,2.0,0.0,Deactivated,black
Fiji,2009-01-01,2009-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Finland,2009-01-01,2009-01-01 00:00:00,8.92915341520533,4.000000000000038,4.0,0.0,Deactivated,black
France,2009-01-01,2009-01-01 00:00:00,3.882382281454694,2.004133480144508,2.0,0.0,Deactivated,black
Germany,2009-01-01,2009-01-01 00:00:00,8.92915341520533,2.000000000000019,2.0,0.0,Deactivated,black
Greece,2009-01-01,2009-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Hungary,2009-01-01,2009-01-01 00:00:00,5.488111724490922,3.0000560551002935,3.0,0.0,Deactivated,black
Ireland,2009-01-01,2009-01-01 00:00:00,8.92915341520533,2.000000000000019,2.0,0.0,Deactivated,black
Italy,2009-01-01,2009-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Japan,2009-01-01,2009-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Malaysia,2009-01-01,2009-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Netherlands,2009-01-01,2009-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
New Zealand,2009-01-01,2009-01-01 00:00:00,4.175418169660327,3.0039929342307623,3.0,0.0,Deactivated,black
Norway,2009-01-01,2009-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
China,2009-01-01,2009-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Singapore,2009-01-01,2009-01-01 00:00:00,8.938238266638331,0.9999999999999974,1.0,0.0,Deactivated,black
South Africa,2009-01-01,2009-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
South Korea,2009-01-01,2009-01-01 00:00:00,4.69961495317846,2.001700053745578,2.0,0.0,Deactivated,black
Switzerland,2009-01-01,2009-01-01 00:00:00,4.22630833350074,2.0027444987470204,2.0,0.0,Deactivated,black
U Arab Emirates,2009-01-01,2009-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
USA,2009-01-01,2009-01-01 00:00:00,4.028564719300352,41.08207080319037,41.0,0.0,Deactivated,black
UK,2009-01-01,2009-01-01 00:00:00,3.9183810359549383,33.081415528532936,33.0,0.0,Deactivated,black
Australia,2009-07-01,2009-07-01 00:00:00,4.284638765957772,8.020587322757317,8.0,0.0,Deactivated,black
Brazil,2009-07-01,2009-07-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Canada,2009-07-01,2009-07-01 00:00:00,3.9415275749425924,6.014330956401492,6.0,0.0,Deactivated,black
Czech Republic,2009-07-01,2009-07-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Denmark,2009-07-01,2009-07-01 00:00:00,3.9914075011905115,2.00359116999372,2.0,0.0,Deactivated,black
Fiji,2009-07-01,2009-07-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Finland,2009-07-01,2009-07-01 00:00:00,8.92915341520533,4.000000000000038,4.0,0.0,Deactivated,black
France,2009-07-01,2009-07-01 00:00:00,3.882382281454694,2.004133480144508,2.0,0.0,Deactivated,black
Germany,2009-07-01,2009-07-01 00:00:00,5.388416666643614,2.999047182363109,3.0,0.0,Deactivated,black
Greece,2009-07-01,2009-07-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Hungary,2009-07-01,2009-07-01 00:00:00,5.488111724490922,3.0000560551002935,3.0,0.0,Deactivated,black
Ireland,2009-07-01,2009-07-01 00:00:00,8.289337675120509,3.000000000015261,3.0,0.0,Deactivated,black
Italy,2009-07-01,2009-07-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Japan,2009-07-01,2009-07-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Malaysia,2009-07-01,2009-07-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Netherlands,2009-07-01,2009-07-01 00:00:00,4.699572876910065,2.0017488236452037,2.0,0.0,Deactivated,black
New Zealand,2009-07-01,2009-07-01 00:00:00,4.175418169660327,3.0039929342307623,3.0,0.0,Deactivated,black
Norway,2009-07-01,2009-07-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
China,2009-07-01,2009-07-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Philippines,2009-07-01,2009-07-01 00:00:00,8.929222328125704,1.0000000000000484,1.0,0.0,Deactivated,black
Singapore,2009-07-01,2009-07-01 00:00:00,8.938238266638331,0.9999999999999974,1.0,0.0,Deactivated,black
South Africa,2009-07-01,2009-07-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
South Korea,2009-07-01,2009-07-01 00:00:00,4.69961495317846,2.001700053745578,2.0,0.0,Deactivated,black
Switzerland,2009-07-01,2009-07-01 00:00:00,4.22630833350074,2.0027444987470204,2.0,0.0,Deactivated,black
U Arab Emirates,2009-07-01,2009-07-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
USA,2009-07-01,2009-07-01 00:00:00,3.932120665794919,50.103700458524216,50.0,0.0,Deactivated,black
UK,2009-07-01,2009-07-01 00:00:00,3.87373023753256,40.10301576870749,40.0,0.0,Deactivated,black
Australia,2010-01-01,2010-01-01 00:00:00,3.5837905626400577,16.058060726238622,16.0,0.0,Deactivated,black
Brazil,2010-01-01,2010-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Canada,2010-01-01,2010-01-01 00:00:00,3.8330343067999175,10.028020931270609,10.0,0.0,Deactivated,black
Chile,2010-01-01,2010-01-01 00:00:00,8.922052727531298,1.0000000000000033,1.0,0.0,Deactivated,black
Czech Republic,2010-01-01,2010-01-01 00:00:00,7.025503222214167,5.000376746740704,5.0,0.0,Deactivated,black
Denmark,2010-01-01,2010-01-01 00:00:00,3.5516186833555126,5.0245636866187295,5.0,0.0,Deactivated,black
Fiji,2010-01-01,2010-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Finland,2010-01-01,2010-01-01 00:00:00,7.070227498168951,4.939610971263118,5.0,0.0,Deactivated,black
France,2010-01-01,2010-01-01 00:00:00,3.412786946241856,4.018593689961723,4.0,0.0,Deactivated,black
Germany,2010-01-01,2010-01-01 00:00:00,3.942387157148547,5.0040803104544995,5.0,0.0,Deactivated,black
Greece,2010-01-01,2010-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Hungary,2010-01-01,2010-01-01 00:00:00,3.760462131597334,6.013102702868682,6.0,0.0,Deactivated,black
India,2010-01-01,2010-01-01 00:00:00,8.922052727531298,3.0000000000000098,3.0,0.0,Deactivated,black
Ireland,2010-01-01,2010-01-01 00:00:00,4.505168352881468,3.9818560514181587,4.0,0.0,Deactivated,black
Italy,2010-01-01,2010-01-01 00:00:00,4.04874719718595,3.008887434779144,3.0,0.0,Deactivated,black
Japan,2010-01-01,2010-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Malaysia,2010-01-01,2010-01-01 00:00:00,3.9806205556467975,3.0102506368680277,3.0,0.0,Deactivated,black
Malta,2010-01-01,2010-01-01 00:00:00,8.922052727531298,1.0000000000000033,1.0,0.0,Deactivated,black
Netherlands,2010-01-01,2010-01-01 00:00:00,4.133818127071709,5.013130895719239,5.0,0.0,Deactivated,black
New Zealand,2010-01-01,2010-01-01 00:00:00,3.590142551301,3.9987520683446403,4.0,0.0,Deactivated,black
Norway,2010-01-01,2010-01-01 00:00:00,4.359542022202692,5.010569401925627,5.0,0.0,Deactivated,black
China,2010-01-01,2010-01-01 00:00:00,7.517809820913125,11.000058882743735,11.0,0.0,Deactivated,black
Philippines,2010-01-01,2010-01-01 00:00:00,5.618861736616096,2.000782467443336,2.0,0.0,Deactivated,black
Poland,2010-01-01,2010-01-01 00:00:00,8.922052727531298,1.0000000000000033,1.0,0.0,Deactivated,black
Romania,2010-01-01,2010-01-01 00:00:00,8.922052727531298,2.0000000000000067,2.0,0.0,Deactivated,black
Serbia,2010-01-01,2010-01-01 00:00:00,8.922052727531298,1.0000000000000033,1.0,0.0,Deactivated,black
Singapore,2010-01-01,2010-01-01 00:00:00,3.078181069111921,2.0114105771455026,2.0,0.0,Deactivated,black
South Africa,2010-01-01,2010-01-01 00:00:00,4.228045352488257,2.002851515375896,2.0,0.0,Deactivated,black
South Korea,2010-01-01,2010-01-01 00:00:00,4.69961495317846,2.001700053745578,2.0,0.0,Deactivated,black
Spain,2010-01-01,2010-01-01 00:00:00,8.922052727531298,2.0000000000000067,2.0,0.0,Deactivated,black
Switzerland,2010-01-01,2010-01-01 00:00:00,3.579057287958522,4.013943772476333,4.0,0.0,Deactivated,black
Turkey,2010-01-01,2010-01-01 00:00:00,8.922052727531298,2.0000000000000067,2.0,0.0,Deactivated,black
U Arab Emirates,2010-01-01,2010-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
USA,2010-01-01,2010-01-01 00:00:00,3.5468799765647563,90.3247085762412,90.0,0.0,Deactivated,black
UK,2010-01-01,2010-01-01 00:00:00,3.5425198729686738,58.14581793913433,58.0,0.0,Deactivated,black
Australia,2010-07-01,2010-07-01 00:00:00,3.5668858075913326,20.08290535532275,20.0,0.0,Deactivated,black
Austria,2010-07-01,2010-07-01 00:00:00,8.914611948933949,1.0000000000000617,1.0,0.0,Deactivated,black
Belgium,2010-07-01,2010-07-01 00:00:00,5.212353327328562,2.0011553017365227,2.0,0.0,Deactivated,black
Brazil,2010-07-01,2010-07-01 00:00:00,3.7400555760852656,2.0048736626952617,2.0,0.0,Deactivated,black
Canada,2010-07-01,2010-07-01 00:00:00,3.67348225749138,12.02724940430337,12.0,0.0,Deactivated,black
Chile,2010-07-01,2010-07-01 00:00:00,8.922052727531298,1.0000000000000033,1.0,0.0,Deactivated,black
Czech Republic,2010-07-01,2010-07-01 00:00:00,7.025503222214167,5.000376746740704,5.0,0.0,Deactivated,black
Denmark,2010-07-01,2010-07-01 00:00:00,3.5516186833555126,5.0245636866187295,5.0,0.0,Deactivated,black
Fiji,2010-07-01,2010-07-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Finland,2010-07-01,2010-07-01 00:00:00,7.070227498168951,4.939610971263118,5.0,0.0,Deactivated,black
France,2010-07-01,2010-07-01 00:00:00,3.412786946241856,4.018593689961723,4.0,0.0,Deactivated,black
Germany,2010-07-01,2010-07-01 00:00:00,3.794272911409357,7.018086355891947,7.0,0.0,Deactivated,black
Greece,2010-07-01,2010-07-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Hungary,2010-07-01,2010-07-01 00:00:00,3.741810984862246,9.033713772476146,9.0,0.0,Deactivated,black
India,2010-07-01,2010-07-01 00:00:00,8.922052727531298,3.0000000000000098,3.0,0.0,Deactivated,black
Ireland,2010-07-01,2010-07-01 00:00:00,4.505168352881468,3.9818560514181587,4.0,0.0,Deactivated,black
Italy,2010-07-01,2010-07-01 00:00:00,4.151445499292324,5.0114083583938935,5.0,0.0,Deactivated,black
Japan,2010-07-01,2010-07-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Malaysia,2010-07-01,2010-07-01 00:00:00,3.9987487247027595,4.011462553287155,4.0,0.0,Deactivated,black
Malta,2010-07-01,2010-07-01 00:00:00,8.922052727531298,1.0000000000000033,1.0,0.0,Deactivated,black
Netherlands,2010-07-01,2010-07-01 00:00:00,4.133818127071709,5.013130895719239,5.0,0.0,Deactivated,black
New Zealand,2010-07-01,2010-07-01 00:00:00,3.590142551301,3.9987520683446403,4.0,0.0,Deactivated,black
Norway,2010-07-01,2010-07-01 00:00:00,4.198583921975927,6.008393957635013,6.0,0.0,Deactivated,black
China,2010-07-01,2010-07-01 00:00:00,7.517809820913125,11.000058882743735,11.0,0.0,Deactivated,black
Philippines,2010-07-01,2010-07-01 00:00:00,4.1464536579341065,2.997990456065678,3.0,0.0,Deactivated,black
Poland,2010-07-01,2010-07-01 00:00:00,8.922052727531298,1.0000000000000033,1.0,0.0,Deactivated,black
Romania,2010-07-01,2010-07-01 00:00:00,8.289209954072673,3.0000000000163802,3.0,0.0,Deactivated,black
Serbia,2010-07-01,2010-07-01 00:00:00,8.922052727531298,1.0000000000000033,1.0,0.0,Deactivated,black
Singapore,2010-07-01,2010-07-01 00:00:00,3.256227173286636,3.0220753133111087,3.0,0.0,Deactivated,black
Slovenia,2010-07-01,2010-07-01 00:00:00,8.928714322728537,0.9999999999999698,1.0,0.0,Deactivated,black
South Africa,2010-07-01,2010-07-01 00:00:00,4.228045352488257,2.002851515375896,2.0,0.0,Deactivated,black
South Korea,2010-07-01,2010-07-01 00:00:00,4.69961495317846,2.001700053745578,2.0,0.0,Deactivated,black
Spain,2010-07-01,2010-07-01 00:00:00,4.880792911836771,6.003845729055429,6.0,0.0,Deactivated,black
Sweden,2010-07-01,2010-07-01 00:00:00,8.902675827178422,0.9999999999999766,1.0,0.0,Deactivated,black
Switzerland,2010-07-01,2010-07-01 00:00:00,3.579057287958522,4.013943772476333,4.0,0.0,Deactivated,black
Turkey,2010-07-01,2010-07-01 00:00:00,8.922052727531298,2.0000000000000067,2.0,0.0,Deactivated,black
U Arab Emirates,2010-07-01,2010-07-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
USA,2010-07-01,2010-07-01 00:00:00,3.533657347282795,102.4062080081307,102.0,0.0,Deactivated,black
UK,2010-07-01,2010-07-01 00:00:00,3.4626796041924197,64.17827734644165,64.0,0.0,Deactivated,black
Australia,2011-01-01,2011-01-01 00:00:00,3.3875137769203993,30.13594608051562,30.0,0.0,Deactivated,black
Austria,2011-01-01,2011-01-01 00:00:00,4.805727043267101,4.007804194134249,4.0,0.0,Deactivated,black
Bangladesh,2011-01-01,2011-01-01 00:00:00,8.907401114109215,1.0000000000000104,1.0,0.0,Deactivated,black
Belgium,2011-01-01,2011-01-01 00:00:00,5.212353327328562,2.0011553017365227,2.0,0.0,Deactivated,black
Brazil,2011-01-01,2011-01-01 00:00:00,3.7400555760852656,2.0048736626952617,2.0,0.0,Deactivated,black
Canada,2011-01-01,2011-01-01 00:00:00,3.34846501285415,18.070433133545105,18.0,0.0,Deactivated,black
Chile,2011-01-01,2011-01-01 00:00:00,8.922052727531298,1.0000000000000033,1.0,0.0,Deactivated,black
Colombia,2011-01-01,2011-01-01 00:00:00,8.907401114109215,1.0000000000000104,1.0,0.0,Deactivated,black
Czech Republic,2011-01-01,2011-01-01 00:00:00,7.025503222214167,5.000376746740704,5.0,0.0,Deactivated,black
Denmark,2011-01-01,2011-01-01 00:00:00,3.5516186833555126,5.0245636866187295,5.0,0.0,Deactivated,black
Fiji,2011-01-01,2011-01-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Finland,2011-01-01,2011-01-01 00:00:00,3.223875584731813,8.020264007423323,8.0,0.0,Deactivated,black
France,2011-01-01,2011-01-01 00:00:00,3.1936491393243926,6.0320039398647936,6.0,0.0,Deactivated,black
Germany,2011-01-01,2011-01-01 00:00:00,3.7048021238685935,18.082997427255208,18.0,0.0,Deactivated,black
Greece,2011-01-01,2011-01-01 00:00:00,3.1131567551963437,2.0105595070307944,2.0,0.0,Deactivated,black
Hungary,2011-01-01,2011-01-01 00:00:00,3.6003002600677627,11.029589439768758,11.0,0.0,Deactivated,black
India,2011-01-01,2011-01-01 00:00:00,3.9917084663527005,9.03251291398997,9.0,0.0,Deactivated,black
Ireland,2011-01-01,2011-01-01 00:00:00,3.679368724166341,4.9909254115738095,5.0,0.0,Deactivated,black
Italy,2011-01-01,2011-01-01 00:00:00,3.786955607862377,10.031048151318396,10.0,0.0,Deactivated,black
Japan,2011-01-01,2011-01-01 00:00:00,3.334190879149122,3.021001232115653,3.0,0.0,Deactivated,black
Latvia,2011-01-01,2011-01-01 00:00:00,8.907401114109215,1.0000000000000104,1.0,0.0,Deactivated,black
Malaysia,2011-01-01,2011-01-01 00:00:00,3.8282830097779117,9.032005192361785,9.0,0.0,Deactivated,black
Malta,2011-01-01,2011-01-01 00:00:00,8.922052727531298,1.0000000000000033,1.0,0.0,Deactivated,black
Netherlands,2011-01-01,2011-01-01 00:00:00,3.5541802794095494,8.018758335058092,8.0,0.0,Deactivated,black
New Zealand,2011-01-01,2011-01-01 00:00:00,3.0035837594029324,6.028407218021258,6.0,0.0,Deactivated,black
Nigeria,2011-01-01,2011-01-01 00:00:00,8.907401114109215,1.0000000000000104,1.0,0.0,Deactivated,black
Norway,2011-01-01,2011-01-01 00:00:00,3.658642312027973,11.03707784408208,11.0,0.0,Deactivated,black
China,2011-01-01,2011-01-01 00:00:00,3.89025795494745,31.12063726919876,31.0,0.0,Deactivated,black
Philippines,2011-01-01,2011-01-01 00:00:00,3.6933775530475415,4.004298917375841,4.0,0.0,Deactivated,black
Poland,2011-01-01,2011-01-01 00:00:00,8.922052727531298,1.0000000000000033,1.0,0.0,Deactivated,black
Romania,2011-01-01,2011-01-01 00:00:00,3.8487149938016465,6.014068022073023,6.0,0.0,Deactivated,black
Serbia,2011-01-01,2011-01-01 00:00:00,8.922052727531298,1.0000000000000033,1.0,0.0,Deactivated,black
Singapore,2011-01-01,2011-01-01 00:00:00,3.536967551836069,6.03029028522216,6.0,0.0,Deactivated,black
Slovakia,2011-01-01,2011-01-01 00:00:00,8.907401114109215,1.0000000000000104,1.0,0.0,Deactivated,black
Slovenia,2011-01-01,2011-01-01 00:00:00,4.554741342937117,4.009631816433244,4.0,0.0,Deactivated,black
South Africa,2011-01-01,2011-01-01 00:00:00,3.389683067606595,3.0011524020571487,3.0,0.0,Deactivated,black
South Korea,2011-01-01,2011-01-01 00:00:00,4.69961495317846,2.001700053745578,2.0,0.0,Deactivated,black
Spain,2011-01-01,2011-01-01 00:00:00,4.280923922251577,13.020327323791038,13.0,0.0,Deactivated,black
Sweden,2011-01-01,2011-01-01 00:00:00,4.699423230655009,2.00193765584555,2.0,0.0,Deactivated,black
Switzerland,2011-01-01,2011-01-01 00:00:00,3.333481778990614,5.01113718973957,5.0,0.0,Deactivated,black
Taiwan,2011-01-01,2011-01-01 00:00:00,8.907401114109215,5.000000000000052,5.0,0.0,Deactivated,black
Turkey,2011-01-01,2011-01-01 00:00:00,8.922052727531298,2.0000000000000067,2.0,0.0,Deactivated,black
U Arab Emirates,2011-01-01,2011-01-01 00:00:00,3.3179123147431677,3.021885460032151,3.0,0.0,Deactivated,black
USA,2011-01-01,2011-01-01 00:00:00,3.3176574335907505,142.56942467400404,142.0,0.0,Deactivated,black
UK,2011-01-01,2011-01-01 00:00:00,3.159095457238467,98.51167652314719,98.0,0.0,Deactivated,black
Australia,2011-07-01,2011-07-01 00:00:00,3.349349274580294,33.153405895094465,33.0,0.0,Deactivated,black
Austria,2011-07-01,2011-07-01 00:00:00,4.79292102561523,5.0062215041961124,5.0,0.0,Deactivated,black
Bangladesh,2011-07-01,2011-07-01 00:00:00,8.907401114109215,1.0000000000000104,1.0,0.0,Deactivated,black
Belgium,2011-07-01,2011-07-01 00:00:00,3.913515152323663,2.9978450428429766,3.0,0.0,Deactivated,black
Brazil,2011-07-01,2011-07-01 00:00:00,3.7400555760852656,2.0048736626952617,2.0,0.0,Deactivated,black
Canada,2011-07-01,2011-07-01 00:00:00,3.2813377550579554,20.087151849180138,20.0,0.0,Deactivated,black
Chile,2011-07-01,2011-07-01 00:00:00,3.620492982175924,3.0162445416055874,3.0,0.0,Deactivated,black
Colombia,2011-07-01,2011-07-01 00:00:00,8.907401114109215,1.0000000000000104,1.0,0.0,Deactivated,black
Czech Republic,2011-07-01,2011-07-01 00:00:00,7.025503222214167,5.000376746740704,5.0,0.0,Deactivated,black
Denmark,2011-07-01,2011-07-01 00:00:00,3.153727170644241,7.020644667644279,7.0,0.0,Deactivated,black
Fiji,2011-07-01,2011-07-01 00:00:00,8.92915341520533,1.0000000000000095,1.0,0.0,Deactivated,black
Finland,2011-07-01,2011-07-01 00:00:00,3.1181126146380667,10.057155846053288,10.0,0.0,Deactivated,black
France,2011-07-01,2011-07-01 00:00:00,3.1936491393243926,6.0320039398647936,6.0,0.0,Deactivated,black
Germany,2011-07-01,2011-07-01 00:00:00,3.7626940555474406,22.091471537324104,22.0,0.0,Deactivated,black
Greece,2011-07-01,2011-07-01 00:00:00,3.1131567551963437,2.0105595070307944,2.0,0.0,Deactivated,black
Hungary,2011-07-01,2011-07-01 00:00:00,3.53790458634224,12.033540066787477,12.0,0.0,Deactivated,black
India,2011-07-01,2011-07-01 00:00:00,4.001575588371532,11.03332142503552,11.0,0.0,Deactivated,black
Ireland,2011-07-01,2011-07-01 00:00:00,3.679368724166341,4.9909254115738095,5.0,0.0,Deactivated,black
Italy,2011-07-01,2011-07-01 00:00:00,3.7274141334558832,11.033363594874388,11.0,0.0,Deactivated,black
Japan,2011-07-01,2011-07-01 00:00:00,3.334190879149122,3.021001232115653,3.0,0.0,Deactivated,black
Latvia,2011-07-01,2011-07-01 00:00:00,8.907401114109215,1.0000000000000104,1.0,0.0,Deactivated,black
Malaysia,2011-07-01,2011-07-01 00:00:00,3.8282830097779117,9.032005192361785,9.0,0.0,Deactivated,black
Malta,2011-07-01,2011-07-01 00:00:00,8.922052727531298,1.0000000000000033,1.0,0.0,Deactivated,black
Netherlands,2011-07-01,2011-07-01 00:00:00,3.461897917306513,9.027604614015402,9.0,0.0,Deactivated,black
New Zealand,2011-07-01,2011-07-01 00:00:00,3.0035837594029324,6.028407218021258,6.0,0.0,Deactivated,black
Nigeria,2011-07-01,2011-07-01 00:00:00,8.907401114109215,1.0000000000000104,1.0,0.0,Deactivated,black
Norway,2011-07-01,2011-07-01 00:00:00,3.6140819689904786,13.050617707576258,13.0,0.0,Deactivated,black
China,2011-07-01,2011-07-01 00:00:00,3.89781776367756,32.124228916041716,32.0,0.0,Deactivated,black
Philippines,2011-07-01,2011-07-01 00:00:00,3.6933775530475415,4.004298917375841,4.0,0.0,Deactivated,black
Poland,2011-07-01,2011-07-01 00:00:00,8.922052727531298,1.0000000000000033,1.0,0.0,Deactivated,black
Romania,2011-07-01,2011-07-01 00:00:00,3.805920212117504,7.02165886801134,7.0,0.0,Deactivated,black
Serbia,2011-07-01,2011-07-01 00:00:00,8.922052727531298,1.0000000000000033,1.0,0.0,Deactivated,black
Singapore,2011-07-01,2011-07-01 00:00:00,3.583541633266097,7.034059533100501,7.0,0.0,Deactivated,black
Slovakia,2011-07-01,2011-07-01 00:00:00,8.907401114109215,1.0000000000000104,1.0,0.0,Deactivated,black
Slovenia,2011-07-01,2011-07-01 00:00:00,4.554741342937117,4.009631816433244,4.0,0.0,Deactivated,black
South Africa,2011-07-01,2011-07-01 00:00:00,3.199755896887912,4.020039448693477,4.0,0.0,Deactivated,black
South Korea,2011-07-01,2011-07-01 00:00:00,4.69961495317846,2.001700053745578,2.0,0.0,Deactivated,black
Spain,2011-07-01,2011-07-01 00:00:00,4.0692369546646034,17.025388008704986,17.0,0.0,Deactivated,black
Sweden,2011-07-01,2011-07-01 00:00:00,4.26998085497557,4.007492686315375,4.0,0.0,Deactivated,black
Switzerland,2011-07-01,2011-07-01 00:00:00,3.333481778990614,5.01113718973957,5.0,0.0,Deactivated,black
Taiwan,2011-07-01,2011-07-01 00:00:00,8.907401114109215,5.000000000000052,5.0,0.0,Deactivated,black
Turkey,2011-07-01,2011-07-01 00:00:00,8.922052727531298,2.0000000000000067,2.0,0.0,Deactivated,black
U Arab Emirates,2011-07-01,2011-07-01 00:00:00,3.3179123147431677,3.021885460032151,3.0,0.0,Deactivated,black
USA,2011-07-01,2011-07-01 00:00:00,3.269903015289416,155.68060368324785,155.0,0.0,Deactivated,black
UK,2011-07-01,2011-07-01 00:00:00,3.133892751110208,112.6916275266901,112.0,0.0,Deactivated,black
Australia,2012-01-01,2012-01-01 00:00:00,3.1763989153846452,42.2050047215157,42.0,0.0,Deactivated,black
Austria,2012-01-01,2012-01-01 00:00:00,4.194297308213179,5.987271211415066,6.0,0.0,Deactivated,black
Bangladesh,2012-01-01,2012-01-01 00:00:00,8.907401114109215,1.0000000000000104,1.0,0.0,Deactivated,black
Belgium,2012-01-01,2012-01-01 00:00:00,3.5164373861256126,5.019875153952538,5.0,0.0,Deactivated,black
Brazil,2012-01-01,2012-01-01 00:00:00,3.7400555760852656,2.0048736626952617,2.0,0.0,Deactivated,black
Canada,2012-01-01,2012-01-01 00:00:00,3.096931619143911,26.141251947307683,26.0,0.0,Deactivated,black
Chile,2012-01-01,2012-01-01 00:00:00,3.620492982175924,3.0162445416055874,3.0,0.0,Deactivated,black
Colombia,2012-01-01,2012-01-01 00:00:00,3.907832636052894,2.0047228451515884,2.0,0.0,Deactivated,black
